PERMNO,date,TICKER,PRC,VOL
14593,2019-10-07,AAPL,227.06000,30880517
14593,2019-10-08,AAPL,224.39999,29293920
14593,2019-10-09,AAPL,227.03000,19024974
14593,2019-10-10,AAPL,230.09000,28957404
14593,2019-10-11,AAPL,236.21001,41980095
14593,2019-10-14,AAPL,235.87000,24418600
14593,2019-10-15,AAPL,235.32001,23030284
14593,2019-10-16,AAPL,234.37000,19272384
14593,2019-10-17,AAPL,235.28000,17259800
14593,2019-10-18,AAPL,236.41000,24371893
14593,2019-10-21,AAPL,240.50999,22363146
14593,2019-10-22,AAPL,239.96001,22677125
14593,2019-10-23,AAPL,243.17999,19927683
14593,2019-10-24,AAPL,243.58000,17980028
14593,2019-10-25,AAPL,246.58000,18359296
14593,2019-10-28,AAPL,249.05000,24408400
14593,2019-10-29,AAPL,243.28999,35691101
14593,2019-10-30,AAPL,243.25999,31078874
14593,2019-10-31,AAPL,248.75999,34783102
14593,2019-11-01,AAPL,255.82001,37774144
14593,2019-11-04,AAPL,257.50000,25816252
14593,2019-11-05,AAPL,257.13000,19971327
14593,2019-11-06,AAPL,257.23999,18963537
14593,2019-11-07,AAPL,259.42999,23728280
14593,2019-11-08,AAPL,260.14001,17511913
14593,2019-11-11,AAPL,262.20001,21149174
14593,2019-11-12,AAPL,261.95999,21827393
14593,2019-11-13,AAPL,264.47000,25881532
14593,2019-11-14,AAPL,262.64001,22377905
14593,2019-11-15,AAPL,265.76001,25083852
14593,2019-11-18,AAPL,267.10001,21690097
14593,2019-11-19,AAPL,266.29001,19061281
14593,2019-11-20,AAPL,263.19000,26606019
14593,2019-11-21,AAPL,262.01001,30393258
14593,2019-11-22,AAPL,261.78000,16325558
14593,2019-11-25,AAPL,266.37000,21026717
14593,2019-11-26,AAPL,264.29001,26328512
14593,2019-11-27,AAPL,267.84000,16383606
14593,2019-11-29,AAPL,267.25000,11654164
14593,2019-12-02,AAPL,264.16000,23661572
14593,2019-12-03,AAPL,259.45001,29322658
14593,2019-12-04,AAPL,261.73999,16798262
14593,2019-12-05,AAPL,265.57999,18863738
14593,2019-12-06,AAPL,270.70999,26518485
14593,2019-12-09,AAPL,266.92001,32156321
14593,2019-12-10,AAPL,268.48001,22590093
14593,2019-12-11,AAPL,270.76999,19703741
